CODFILIAL;NUMERO_NOTA;CODPROD;NOME_PRODUTO;CATEGORIA;DTMOV_ENTRADA;QTD_ENTRADA;VLR_ENTRADA
10;290;160082;CARTUCHO SOS VIT GEST;INSUMO DE PRODUCAO;2025-09-18;1,0;0,61
10;292;153668;TOTALVITA OMEGA 3 1G 60/CAPS;OMEGAS;2025-09-18;17,0;171,94
10;292;154078;TOTALVITA OMEGA DHA MEG3 1G 60CAPS;OMEGAS;2025-09-18;116,0;1101,9
5;1742;110248;IVERMECTINA 6MG 4COM GEN NQ;OLEO/LOC CORPORAL;2025-01-14;420,0;1807,28
5;1744;139393;TADALAFILA 20MG 1COM GEN NQ;MEL/PROPOLIS;2025-01-14;250,0;273,54
5;1748;145777;GEL LUB RILEX TRADICIONAL TOY 100G;PRODUTO COM PMC;2025-01-14;7,0;57,78
5;1755;142628;SULFA+TRIM 800/160MG 120COM GEN PRATI;OLEO/LOC CORPORAL;2025-01-15;1,0;49,92
5;1756;143314;CETOCONAZOL CR 20MG/G 30G GEN TB;CAIXA TERMICA;2025-01-15;6,0;17,28
5;1758;153712;CALCIPREV 500MG 60COM;VITAMINAS/MINERAIS;2025-01-15;2,0;20,0
5;1761;149111;VULT ESM 5F CISNE NEGRO 001 8ML;TERMICA;2025-01-15;1,0;2,89
5;1763;152325;OLMESARTANA MEDOXOMIL 40MG 30COM GEN GMD;OLEO/LOC CORPORAL;2025-01-15;2,0;29,62
5;1766;149667;GEL LUB RILEX LEITE CONDENSADO TOY 100G;LUBRIFICANTE;2025-01-15;1,0;8,55
5;1767;126215;HASTES FLEX CARTUCHO 75UN COTTONBABY ;MASCULINO;2025-01-15;3,0;3,43
5;1767;147039;CURATIVO VARIADO 30UN SALVELOX ;DESCARTAVEIS;2025-01-15;6,0;26,97
5;1770;100315;TRIANCINOLONA 1MG 10G PM GEN GMD;OLEO/LOC CORPORAL;2025-01-15;2,0;4,84
5;1770;119253;DROSPIRENONA+ETINIL 3MG+0,03MG 21COM NVQ;MEL/PROPOLIS;2025-01-15;1,0;5,57
5;1770;148470;DICLOFENACO POT 50MG 20COM GEN GEO;CAIXA TERMICA;2025-01-15;1,0;1,76
5;1771;142885;SIMETICONA 125MG 12CAP GELATINOSAS;PRODUTO SEM PMC;2025-01-15;1,0;2,18
5;1771;148817;BISOPROLOL 10MG 30COM GEN TORRENT;PRODUTO COM PMC;2025-01-15;1,0;19,52
5;1773;74489;METFORMINA 500MG LP 60COM GEN PRATI;MEL/PROPOLIS;2025-01-15;8,0;60,12
5;1776;144293;AMIODARONA 100MG 30COM GEN GEO;PRODUTO COM PMC;2025-01-15;6,0;46,89
5;1777;63428;BETRICORT (CETO+BETA+NEO) CR 30G;PRODUTO COM PMC;2025-01-15;2,0;9,08
5;1777;153075;CR TRAT BANHO CRISTAL KANECHOM 1KG;CONDICIONADORES;2025-01-15;1,0;5,34
5;1778;142014;VASELINA LIQUIDA 100ML UNIPHAR;MEL/PROPOLIS;2025-01-15;6,0;20,95
5;1779;55310;HELMIZOL (METRONIDAZOL) 250MG 20COM;PRODUTO COM PMC;2025-01-15;185,0;429,14
5;1780;64033;AMOX+CLAV POT 875+125MG 14COM GEN LEG;CAIXA TERMICA;2025-01-23;3,0;109,98
5;1781;140862;PROMETAZINA 25MG 20COM GEN TB;PRODUTO COM PMC;2025-01-23;2,0;4,42
5;1783;142040;CETOCASP SH (CETOCONAZOL) 120ML;SHAMPOO;2025-01-23;3,0;18,45
5;1784;148801;FEXOFENADINA 120MG 10COM GEN NQ;PRODUTO COM PMC;2025-01-23;28,0;212,77
5;1785;82660;CLOBETASOL PM 0,5MG/G 30G GEN NQ;OLEO/LOC CORPORAL;2025-01-23;1,0;4,27
5;1786;142041;ALCOOL 70% 50ML UNIPHAR;ACESSORIOS;2025-01-23;22,0;34,53
5;1791;143943;RISPERIDONA 2MG 30COM (C1) GEN PRATI;PRODUTO COM PMC;2025-01-29;27,0;155,66
5;1795;79073;DRENOGRIP (DIP+CAF+CLORF) 6X20 120COM;PRODUTO COM PMC;2025-01-31;1,0;11,23
5;1797;145235;NASONEW (CLOR SOD+BENZ) SPR GTS 50ML;PRODUTO SEM PMC;2025-01-31;17,0;79,17
5;1798;93319;TINIDAZOL+MICONAZOL CR VAG 40G 7APL NQ;MEL/PROPOLIS;2025-01-31;4,0;33,69
5;1798;144975;ESPARADRAPO BRANCO 1,2CMX4,5M SALVELOX;DESCARTAVEIS;2025-01-31;6,0;9,0
5;1799;54836;CEFALEXINA 500MG 40COM GEN TEUTO;CAIXA TERMICA;2025-01-31;2,0;36,1
5;1799;126059;PRESERV BLOWTEX ELITE C/3UND;DESCARTAVEIS;2025-01-31;288,0;263,37
5;1799;126059;PRESERV BLOWTEX ELITE C/3UND;PROTEINAS;2025-01-31;96,0;87,79
5;1800;143360;ANLODIPINO 5MG 60COM GEN PRATI;PRODUTO COM PMC;2025-01-31;1,0;4,76
5;1800;145117;CICLOBENZAPRINA 5MG 30COM GEN PRATI;MEL/PROPOLIS;2025-01-31;1,0;3,62
5;1801;147714;AMOXICILINA SUSP 500MG/5ML 150ML GEN EMS;MEL/PROPOLIS;2025-01-31;9,0;169,53
5;1801;147714;AMOXICILINA SUSP 500MG/5ML 150ML GEN EMS;OLEO/LOC CORPORAL;2025-01-31;9,0;169,53
5;1802;116777;ZOLPIDEM 10MG 20COM (B1) GEN TB;CAIXA TERMICA;2025-01-31;6,0;10,37
5;1802;116777;ZOLPIDEM 10MG 20COM (B1) GEN TB;OLEO/LOC CORPORAL;2025-01-31;6,0;10,37
5;1803;105171;BESILAPIN (ANLODIPINO) 10MG 30COM;PRODUTO COM PMC;2025-01-31;58,0;121,99
5;1808;146925;CH VIVA SIL RED T2 4912-01-M			;CHUPETAS;2025-02-05;12,0;61,35
5;1809;148758;EXTRATOR MANUAL LEITE MATERNO*;PINÇAS;2025-02-05;4,0;197,58
5;1810;156126;DES CORP GB BODY SPLASH SECRETS 200ML;CORPO;2025-02-05;1,0;15,71
5;1812;138486;PENTE REMOV PIOLHOS/LENDEAS DR PENTINHO;ESCOVAS/PENTES;2025-02-05;7,0;69,27
5;1812;151779;KIT GB NEC+COL20ML+2 SAB 90G BLUE ;MEDIDORES DE PRESSAO;2025-02-05;2,0;37,51
5;1813;153849;DRJ SH FORT HAIR FORCE 200ML;CUIDADO COM O ROSTO;2025-02-05;18,0;383,01
5;1814;156201;ABS INTIMUS NOTURNO SUAVE C/AB 45UN;ABSORVENTES;2025-02-05;1,0;12,3
5;1817;150216;VULT ESM 5F SAIA DE CROCHE 035 8ML;NEBULIZADORES;2025-02-05;1,0;2,75
5;1817;150285;VULT CORRETIVO LIQ NANO HD COR V120;MAQUIAGEM;2025-02-05;1,0;8,7
5;1817;150892;VULT ESM 5F MEIO AMARGO 012 8ML;TERMICA;2025-02-05;2,0;5,49
5;1818;153419;VULT ESM 5FREE COL FUN ETERNA OTIMIS 8ML;NEBULIZADORES;2025-02-05;2,0;5,91
5;1819;153276;PMPCK SIAGE SH/CD GLOW EXPERT 200/175ML;LINHA CAPILAR;2025-02-05;2,0;44,86
5;1819;156533;NIINA SCRT PO SOLTO P/M COR 2 12G ;MAQUIAGEM;2025-02-05;3,0;50,05
5;1822;150385;ELASTICO CAB PRETO 6UND LANOSSI;PRENDEDOR DE CABELO;2025-02-06;12,0;33,52
5;1823;57525;ENXAK (M.DIIDROERGOTAMINA+DIP+CAF)12COM;PRODUTO COM PMC;2025-02-06;1,0;6,93
5;1824;151227;SULFADIAZINA DE PRATA 10MG/G CR 50G GEN;CAIXA TERMICA;2025-02-06;1,0;6,41
5;1825;136830;PRESERV RILEX TEXTURIZADO C/3UND;PROTEINAS;2025-02-06;94,0;253,83
5;1827;147533;TRAMADOL 50MG 10CAP (A2) GEN PRATI;OLEO/LOC CORPORAL;2025-02-06;1,0;2,51
5;1828;77097;CARVEDILOL 3,125MG 30COM GEN BIOS;PRODUTO COM PMC;2025-02-13;44,0;286,56
5;1829;157251;FLORENT (SACCHAROMYCES) 200MG 6CAP DURA ;PRODUTO COM PMC;2025-02-13;4,0;29,82
5;1834;101141;AMITRIPTILINA 25MG 30COM (C1) GEN GMD;PRODUTO COM PMC;2025-03-25;1,0;3,38
5;1834;154146;CANDITRAT (NISTATINA) 100.000UI/ML 50ML;PRODUTO COM PMC;2025-03-25;1,0;4,62
5;1835;147809;DONEPEZILA 5MG 30COM (C1) GEN EMS;PRODUTO COM PMC;2025-03-25;2,0;28,55
5;1835;147809;DONEPEZILA 5MG 30COM (C1) GEN EMS;CAIXA TERMICA;2025-03-25;2,0;28,55
5;1835;147809;DONEPEZILA 5MG 30COM (C1) GEN EMS;OLEO/LOC CORPORAL;2025-03-25;2,0;28,55
5;1836;93645;TRAMADOL 50MG 10CAP (A2) GEN TEUTO;OLEO/LOC CORPORAL;2025-03-25;3,0;4,34
5;1836;100749;BROMAZEPAM 6MG 30COM (B1) GEN GMD;PRODUTO COM PMC;2025-03-25;2,0;9,51
5;1836;100749;BROMAZEPAM 6MG 30COM (B1) GEN GMD;CAIXA TERMICA;2025-03-25;2,0;9,51
5;1836;143944;RISPERIDONA 3MG 30COM (C1) GEN PRATI;PRODUTO COM PMC;2025-03-25;3,0;23,1
5;1836;147950;MIRTAZAPINA 30MG 30COM ORODISP (C1) EMS;LUBRIFICANTE;2025-03-25;6,0;231,31
5;1837;144310;OLANZAPINA 2,5MG 30COM (C1) GEN PRATI;PRODUTO COM PMC;2025-03-25;2,0;23,9
5;1837;152836;DESVENLAFAXINA 50MG 30COM LP(C1) GEN TOR;PRODUTO COM PMC;2025-03-25;1,0;19,81
5;1841;102938;OLANZAPINA 10MG 30COM (C1) GEN GMD;OLEO/LOC CORPORAL;2025-03-25;3,0;78,91
5;1843;144397;PROT DIARIO INTIMUS ANTBAC 15UND;ABSORVENTES;2025-03-25;7,0;19,71
5;1846;81612;ENALAPRIL 20MG 30COM GEN TB;CAIXA TERMICA;2025-03-25;1,0;2,17
5;1846;81612;ENALAPRIL 20MG 30COM GEN TB;MEL/PROPOLIS;2025-03-25;1,0;2,17
5;1847;88366;NEODIA (LEVONORGESTREL) 1,5MG 1COM;PRODUTO COM PMC;2025-03-25;1,0;0,84
5;1847;101710;CLOTRIMAZOL+DEXAMETASONA CR 40G GEN GMD;CAIXA TERMICA;2025-03-25;5,0;48,95
5;1847;101710;CLOTRIMAZOL+DEXAMETASONA CR 40G GEN GMD;MEL/PROPOLIS;2025-03-25;5,0;48,95
5;1847;101842;DICLOF COLESTIRAMINA 70MG 14CAP GEN GMD*;OLEO/LOC CORPORAL;2025-03-25;8,0;38,17
5;1849;103101;PANTOPRAZOL SOD 20MG 28COM GEN GMD;MEL/PROPOLIS;2025-03-25;1,0;4,12
5;1849;103101;PANTOPRAZOL SOD 20MG 28COM GEN GMD;OLEO/LOC CORPORAL;2025-03-25;1,0;4,12
5;1850;148591;OMEPRAZOL 20MG 56CAP GEN GEO;LUBRIFICANTE;2025-03-25;1,0;2,63
5;1850;148591;OMEPRAZOL 20MG 56CAP GEN GEO;MEL/PROPOLIS;2025-03-25;1,0;2,63
5;1853;142554;AMOXICILINA SUSP 50MG/ML 150ML GEN PRATI;PRODUTO COM PMC;2025-03-25;29,0;220,88
5;1853;142554;AMOXICILINA SUSP 50MG/ML 150ML GEN PRATI;LUBRIFICANTE;2025-03-25;29,0;220,88
5;1854;154302;VULT SH LISOS 350ML;SHAMPOO;2025-03-25;2,0;12,9
5;1855;142442;AMBROXOL GTS 7,5MG/ML 50ML GEN PRATI;LUBRIFICANTE;2025-03-25;3,0;15,83
5;1855;142442;AMBROXOL GTS 7,5MG/ML 50ML GEN PRATI;MEL/PROPOLIS;2025-03-25;3,0;15,83
5;1856;142438;ALBENDAZOL 40MG 10ML GEN PRATI;MEL/PROPOLIS;2025-03-25;3,0;5,05
5;1857;81981;MELOXICAM 15MG 10COM GEN NQ;PRODUTO COM PMC;2025-03-25;180,0;247,01
