CODFILIAL;NUMERO_NOTA;CODPROD;NOME_PRODUTO;CATEGORIA;DTMOV_SAIDA;QTD_SAIDA;VLR_SAIDA
10;291;153869;FRASCO PET 28500 AMBA EMBALADO;INSUMO DE PRODUCAO;2025-09-18;2004,0;2055,73
10;291;154184;CARTUCHO TOTAL VITA VIT BC MODELO 4;INSUMO DE PRODUCAO;2025-09-18;39,0;18,07
10;291;154185;CARTUCHO TOTAL VITA VITA AZ MODELO 02;INSUMO DE PRODUCAO;2025-09-18;21901,0;12934,31
10;291;154186;CARTUCHO TOTAL VITA  MULHER MODELO 2;INSUMO DE PRODUCAO;2025-09-18;22556,0;13137,92
10;291;154734;CAIXA DE EMBALAGEM N-4 TONICO;INSUMO DE PRODUCAO;2025-09-18;248,4338;472,76
10;291;155056;FRASCO R350 BRANCO;INSUMO DE PRODUCAO;2025-09-18;1455,0;1231,34
10;291;155368;FRASCO R220 BRANCO;INSUMO DE PRODUCAO;2025-09-18;10,0;7,91
10;291;155853;ROTULO TOTALVITA AZ 02;INSUMO DE PRODUCAO;2025-09-18;2618,0;393,1
10;291;155856;ROTULO TOTALVITA KIDS 02;INSUMO DE PRODUCAO;2025-09-18;19624,0;2945,29
10;291;156942;ROTULO SEMPREUP GROWAPETITE 240ML;INSUMO DE PRODUCAO;2025-09-18;166,0;25,16
10;291;157455;CARTUCHO OMEGA 3 60 CAPSULAS;INSUMO DE PRODUCAO;2025-09-18;16,0;8,82
10;291;158793;CARTUCHO TOTALVITA VITAMINA D 60 CAPS;INSUMO DE PRODUCAO;2025-09-18;152,0;90,76
10;291;160276;ROTULO TOTALVITA B12 30 CAPS;INSUMO DE PRODUCAO;2025-09-18;60,0;9,0
10;293;153520;ESSENCIA AL 960ML RUM JAMAICA;INSUMO DE PRODUCAO;2025-09-18;11,9514;225,08
10;293;153522;INSUMO ACETIL N CISTEINA  25KG ANALITCS;INSUMO DE PRODUCAO;2025-09-18;50,0;11536,61
10;293;154083;TOTALVITA OMEGA 3 1G 120CAP;ESPATULA;2025-09-18;1,0;17,66
10;293;157681;CAPSULA DE CALCIOCON MDK 1400MG;INSUMO DE PRODUCAO;2025-09-18;4680,0;431,08
10;293;157684;CAPSULA DE SUPLEMENTO DE VITAMINA B12 15;INSUMO DE PRODUCAO;2025-09-18;60,0;4,42
10;293;158939;SEMPRE FORTE 60 CAPS;ESPATULA;2025-09-18;5,0;29,86
6;44530;154901;BARRA PROTEIN WOD GOUR COKIES&CREAM C/12;DESCARTAVEIS;2025-01-14;6,0;306,17
